X1	Sample	Collaborator.sample.code	Confiscated.from	Sample_Type	Method.of.obtaining.the.sample	Donor..Collaborator	Collaborator.sample.code.1	Date.confiscated	Year.confiscated	Seizure.Number	Quantity.seized..kg.	Seizure.location..details	Declared.country.of.origin	Transit.method..land..air..or.sea..	NA.	NA..1	NA..2	NA..3	NA..4	NA..5	NA..6	NA..7	NA..8	NA..9	NA..10	NA..11	NA..12	NA..13	NA..14	NA..15	NA..16	NA..17	NA..18	NA..19	NA..20	predLong	predLat	highprob
Confiscated	HK_Conf_D001	D001	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D001	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.3697594202899	2.13335478260869	0.157646632564156
Confiscated	HK_Conf_D002	D002	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D002	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6625652173913	4.99936202898551	0.626788600344148
Confiscated	HK_Conf_D003	D003	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D003	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6625652173913	4.99936202898551	0.358393873873432
Confiscated	HK_Conf_D004	D004	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D004	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.2357666666667	3.27975768115942	0.93542622088199
Confiscated	HK_Conf_D005	D005	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D005	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.2357666666667	3.27975768115942	0.932098479335051
Confiscated	HK_Conf_D011	D011	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D011	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.2357666666667	3.27975768115942	0.617797751979759
Confiscated	HK_Conf_D012b	D012b	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D012b	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2233565217391	2.13335478260869	0.240468394897435
Confiscated	HK_Conf_D014	D014	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D014	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.0769536231884	5.57256347826087	0.178080909419629
Confiscated	HK_Conf_D015	D015	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D015	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.2357666666667	3.27975768115942	0.945051450550688
Confiscated	HK_Conf_D017	D017	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D017	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2233565217391	2.13335478260869	0.735466354787775
Confiscated	HK_Conf_D018	D018	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D018	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.0769536231884	5.57256347826087	0.901938560464341
Confiscated	HK_Conf_D020	D020	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D020	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.2357666666667	3.27975768115942	0.961579790553909
Confiscated	HK_Conf_D025	D025	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D025	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6625652173913	4.99936202898551	0.622094005812166
Confiscated	HK_Conf_D025b	D025b	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D025b	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2233565217391	2.70655623188406	0.166109844158859
Confiscated	HK_Conf_D026a	D026a	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D026a	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.2357666666667	3.27975768115942	0.477611726856005
Confiscated	HK_Conf_D027	D027	Hong Kong	DNA Extract from scales	Confiscated	HKU Team	D027	43082	2017	16/2018	1856.62	Kwai Chung Customhouse	Nigeria	Sea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6625652173913	4.99936202898551	0.229853826749307
