Sample_Name	collection	repunit	inferred_repunit	Region_K5	Latitude	Longitude	predLong	predLat	highprob	error_km
SL_47734	Sierra_Leone	GH_SL	GH_SL	West Africa	8	-11	-10.9850971014493	8.43857072463768	0.0801047922616239	48.8490723390066
15968NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	11	10.2233565217391	2.13335478260869	0.890834539849212	87.6653446128584
24216NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	11	10.2233565217391	2.13335478260869	0.702870470986106	87.6653446128584
CA_ECO13430NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	11	10.2233565217391	2.13335478260869	0.807997073503583	87.6653446128584
CA_ECO15567NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	11	14.2357666666667	2.70655623188406	0.218451185054843	368.392123903378
CA_ECO17837NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	11	10.2233565217391	2.13335478260869	0.887853514231736	87.6653446128584
CA_ECO17931NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	11	10.2233565217391	2.70655623188406	0.562030857843476	116.825664261116
CA_ECO24796NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	11	11.9429608695652	2.13335478260869	0.521628352531643	105.946795036706
CA_ECO24922NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	11	9.65015507246377	1.56015333333333	0.0998954898566106	157.970916190136
C_CAM0019S	Central_Cameroon	CMR_GAB	CMR_GAB	Cameroon & Gabon	5	14	13.6625652173913	4.99936202898551	0.552221005867481	37.420214568015
CA_ECO25350NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	10	10.2233565217391	2.13335478260869	0.964366917533827	28.9445086133486
CA_ECO95334NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	10	10.2233565217391	2.13335478260869	0.81118195427679	28.9445086133486
C_CAM001S	Central_Cameroon	CMR_GAB	CMR_GAB	Cameroon & Gabon	5	14	11.3697594202899	2.13335478260869	0.148254163075673	432.681938297803
C_CAM0022S	Central_Cameroon	CMR_GAB	CMR_GAB	Cameroon & Gabon	5	14	13.6625652173913	4.99936202898551	0.383105060642779	37.420214568015
C_CAM002S	Central_Cameroon	CMR_GAB	CMR_GAB	Cameroon & Gabon	5	14	13.6625652173913	2.70655623188406	0.0849710794687437	258.040812715658
C_CAM024S	Central_Cameroon	CMR_GAB	CMR_GAB	Cameroon & Gabon	5	12	10.7965579710145	1.56015333333333	0.0940121143195888	405.600908302438
C_CAM026S	Central_Cameroon	CMR_GAB	CMR_GAB	Cameroon & Gabon	5	12	9.0769536231884	5.57256347826087	0.993392345171379	330.216000697691
C_CAM027s	Central_Cameroon	CMR_GAB	CMR_GAB	Cameroon & Gabon	5	12	13.6625652173913	4.99936202898551	0.91523034501466	184.371698029497
CAR_47745	DRC	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	Congo Basin	-9	26	15.0962008695652	1.42312666666666	0.741867560002155	1676.0244802572
DRC_008	DRC	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	Congo Basin	-11	26	14.808968115942	1.57892898550725	0.821208419071413	1869.73920715077
CA_ECO94645DJ	Dja_Lobo	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	13	11.3697594202899	2.13335478260869	0.140213814871152	205.364918505873
CA_ECO105927AD	Boumba_Ngoko	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	Congo Basin	2	15	14.808968115942	1.56015333333333	0.984206046673303	53.3780009144137
CA_ECO94852DJ	Dja_Lobo	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	13	10.2233565217391	2.13335478260869	0.703266871413644	323.501622547715
CA_ECO94854DJ	Dja_Lobo	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	13	11.9429608695652	2.13335478260869	0.922779419330246	152.070063281365
CA_ECO94951DJ	Dja_Lobo	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	13	11.9429608695652	2.13335478260869	0.349927875138896	152.070063281365
GABON_Bitam1_3	Gabon_BIT	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	12	11.9429608695652	2.13335478260869	0.440673389166227	16.1442923001272
GABON_Bitam3_3	Gabon_BIT	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	12	10.2233565217391	2.13335478260869	0.420732476086016	198.203057520714
GABON_LIB2_1	Gabon_LIB	CMR_GAB	CMR_GAB	Cameroon & Gabon	0	10	10.2233565217391	2.13335478260869	0.820429051013036	238.781415950452
GABON_MOCABE1_1	Gabon_MOCABE	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	Congo Basin	-3	11	14.808968115942	1.56015333333333	0.77084884591893	661.328500986203
GABON_OYEM1-4	Gabon_OYEM	CMR_GAB	CMR_GAB	Cameroon & Gabon	2	12	11.9429608695652	2.13335478260869	0.69391198184125	16.1442923001272
GHANA_39167	Ghana	GH_SL	GH_SL	West Africa	8	-2	-1.24067246376812	6.14576492753623	0.248241088776084	222.805127326613
GHANA_39168	Ghana	GH_SL	GH_SL	West Africa	6	-1	-2.38707536231884	7.86536927536232	0.385937908158181	258.092587256141
CA_ECO94046AD	Boumba_Ngoko	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	Congo Basin	2	15	14.808968115942	1.56015333333333	0.960550030580693	53.3780009144137
GHANA_47693	Ghana	GH_SL	GH_SL	West Africa	6	-1	-2.38707536231884	7.86536927536232	0.92574575714442	258.092587256141
GHANA_47694	Ghana	GH_SL	GH_SL	West Africa	6	-1	-2.38707536231884	7.86536927536232	0.303696712003064	258.092587256141
GHANA_47695	Ghana	GH_SL	GH_SL	West Africa	7	-2	-0.667471014492754	6.14576492753623	0.465272187790125	175.378574017065
GHANA_47701	Ghana	GH_SL	GH_SL	West Africa	7	-2	-10.9850971014493	8.43857072463768	0.796305355817889	1003.96093159829
GHANA_47703	Ghana	GH_SL	GH_SL	West Africa	7	-2	-10.9850971014493	8.43857072463768	0.625632893964693	1003.96093159829
GHANA_47708	Ghana	GH_SL	GH_SL	West Africa	7	-1	-10.9850971014493	8.43857072463768	0.173107856440336	1112.98856170429
GHANA_47715	Ghana	GH_SL	GH_SL	West Africa	8	-3	-2.38707536231884	7.86536927536232	0.887940867631344	69.2194601340498
GHANA_47719	Ghana	GH_SL	GH_SL	West Africa	8	-2	-0.667471014492754	6.14576492753623	0.589329865923633	253.523612965781
GHANA_47720	Ghana	GH_SL	GH_SL	West Africa	8	-2	-0.667471014492754	6.14576492753623	0.13198743034529	253.523612965781
CA_ECO94331AD	Boumba_Ngoko	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	Congo Basin	2	15	14.808968115942	1.56015333333333	0.97553726140027	53.3780009144137
GHANA_47721	Ghana	GH_SL	GH_SL	West Africa	8	-2	-1.81387391304348	7.29216782608696	0.067898673151138	81.4274155255088
GH_39165	Ghana	GH_SL	GH_SL	West Africa	8	-2	-2.38707536231884	7.29216782608696	0.687868721483095	89.6242413284381
GH_39166	Ghana	GH_SL	GH_SL	West Africa	6	-1	-1.81387391304348	7.86536927536232	0.193084538397409	226.290439678139
GH_47700	Ghana	GH_SL	GH_SL	West Africa	7	-1	-1.81387391304348	7.86536927536232	0.344452868158404	131.722376449768
GH_47711	Ghana	GH_SL	GH_SL	West Africa	8	-2	-1.81387391304348	7.86536927536232	0.0891760755902337	25.4112198316496
GH_47713	Ghana	GH_SL	GH_SL	West Africa	6	-1	-10.9850971014493	7.86536927536232	0.145146278284288	1122.7081372786
34501LE	Haut_Nyong_North	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	14	14.2357666666667	3.27975768115942	0.526994175106149	40.7014570780422
CA_ECO94367AD	Boumba_Ngoko	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	Congo Basin	2	15	14.808968115942	1.56015333333333	0.988449677968311	53.3780009144137
81348LE	Haut_Nyong_North	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	14	14.2357666666667	3.27975768115942	0.840160372188749	40.7014570780422
CA_ECO34165LE	Haut_Nyong_North	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	14	14.2357666666667	2.70655623188406	0.418804307954247	41.8829591068755
CA_ECO34735LE	Haut_Nyong_North	CMR_GAB	CMR_GAB	NA	3	14	11.3697594202899	2.13335478260869	0.309271531372026	307.999741987821
CA_ECO81327LE	Haut_Nyong_North	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	14	9.65015507246377	4.99936202898551	0.0638496003867517	531.829510414745
CA_ECO81363LE	Haut_Nyong_North	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	14	14.2357666666667	3.27975768115942	0.849647356897008	40.7014570780422
CA_ECO85197LE	Haut_Nyong_North	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	14	14.2357666666667	3.27975768115942	0.540322121222111	40.7014570780422
CA_ECO85214LE	Haut_Nyong_North	CMR_GAB	CMR_GAB	Cameroon & Gabon	3	14	14.2357666666667	3.27975768115942	0.444386410165298	40.7014570780422
CA_ECO88076LE	Haut_Nyong_North	CMR_GAB	CMR_GAB	NA	NA	NA	14.2357666666667	3.27975768115942	0.993509178792581	NA
