Sample	mixture_collection	CAR_CON_GAB_DRC	CMR_GAB	CMR_Manyu	GH_SL	Nigeria	assignment
HK_Conf_D001	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D002	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D003	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D004	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D005	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D011	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D012b	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D014	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D015	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D017	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D018	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D020	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D025	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D025b	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D026a	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D027	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D028	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D029	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D031	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D032	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D033	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D034	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D035	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D037	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D039	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D040	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D043	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D044	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D046	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D048	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D049	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D052	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D053	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D054	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D055	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D056	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D058	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D060	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D061	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D062	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D066	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D067	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D069	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D070	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D072	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D076	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D077	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D078	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D080	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D081	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D082	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D084	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D085	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D087	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D089	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D090	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D091	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D092	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D093	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D094	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D095	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D096	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D097	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D098	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D099	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D100	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D101	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D102	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D103	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D104	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D105	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D106	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D107	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D108	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D110	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D111	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D112	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D113	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D115	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D116	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D117	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D118	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D119	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D120	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D121	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D122	Confiscated	0	1	0	0	0	CMR_GAB
HK_Conf_D124	Confiscated	0	1	0	0	0	CMR_GAB
