Sample_Name	collection	repunit	inferred_repunit	inferred_repunit_geno	Region_K5	Latitude	Longitude	predLong	predLat	highprob	error_km
SL_47734	Sierra_Leone	GH_SL	GH_SL	NA	GH_SL	8.209717	-10.977	-10.9850971014493	8.43857072463768	0.0801047922616239	25.4914867371072
15968NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	NA	CMR_GAB	2.4476	10.4573	10.2233565217391	2.13335478260869	0.890834539849212	43.5986097187221
24216NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	NA	CMR_GAB	2.383	10.4536	10.2233565217391	2.13335478260869	0.702870470986106	37.7916810536321
CA_ECO13430NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	CMR_GAB	CMR_GAB	2.4042	10.5446	10.2233565217391	2.13335478260869	0.807997073503583	46.7532034370109
CA_ECO15567NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	NA	CMR_GAB	2.383	10.4536	14.2357666666667	2.70655623188406	0.218451185054843	422.152290000422
CA_ECO17837NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	CMR_GAB	CMR_GAB	2.4476	10.4573	10.2233565217391	2.13335478260869	0.887853514231736	43.5986097187221
CA_ECO17931NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	CMR_GAB	CMR_GAB	2.383	10.4536	10.2233565217391	2.70655623188406	0.562030857843476	44.1920216891782
CA_ECO24796NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	CMR_GAB	CMR_GAB	2.383	10.4536	11.9429608695652	2.13335478260869	0.521628352531643	167.980741194484
CA_ECO24922NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	NA	CMR_GAB	2.383	10.4536	9.65015507246377	1.56015333333333	0.0998954898566106	127.984750207198
C_CAM0019S	Central_Cameroon	CMR_GAB	CMR_GAB	NA	CMR_GAB	5.22285	13.5605	13.6625652173913	4.99936202898551	0.552221005867481	27.331483377865
CA_ECO25350NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	NA	CMR_GAB	2.4232	10.3571	10.2233565217391	2.13335478260869	0.964366917533827	35.5298023855234
CA_ECO95334NY	Vallee_du_Ntem	CMR_GAB	CMR_GAB	CMR_GAB	CMR_GAB	2.4232	10.3571	10.2233565217391	2.13335478260869	0.81118195427679	35.5298023855234
C_CAM001S	Central_Cameroon	CMR_GAB	CMR_GAB	NA	CMR_GAB	5.24278	13.57075	11.3697594202899	2.13335478260869	0.148254163075673	423.769764232376
C_CAM0022S	Central_Cameroon	CMR_GAB	CMR_GAB	NA	CMR_GAB	5.15513	13.52611	13.6625652173913	4.99936202898551	0.383105060642779	23.0132264164584
C_CAM002S	Central_Cameroon	CMR_GAB	CMR_GAB	NA	CMR_GAB	5.24278	13.57075	13.6625652173913	2.70655623188406	0.0849710794687437	282.515163844012
C_CAM024S	Central_Cameroon	CMR_GAB	CMR_GAB	NA	CMR_GAB	5.18925	11.52079	10.7965579710145	1.56015333333333	0.0940121143195888	411.925144982693
C_CAM026S	Central_Cameroon	CMR_GAB	CMR_GAB	NA	CMR_GAB	5.20522	11.53838	9.0769536231884	5.57256347826087	0.993392345171379	275.84094349348
C_CAM027s	Central_Cameroon	CMR_GAB	CMR_GAB	NA	CMR_GAB	5.20522	11.53838	13.6625652173913	4.99936202898551	0.91523034501466	236.638201973716
CAR_47745	DRC	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	CAR_CON_GAB	-8.8851	26.4194	15.0962008695652	1.42312666666666	0.741867560002155	1701.3336865927
DRC_008	DRC	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	NA	CAR_CON_GAB	-10.62348	26.00832	14.808968115942	1.57892898550725	0.821208419071413	1839.50655936557
CA_ECO94645DJ	Dja_Lobo	CMR_GAB	CMR_GAB	CMR_GAB	CMR_GAB	2.7244	13.05736	11.3697594202899	2.13335478260869	0.140213814871152	198.891187375186
CA_ECO105927AD	Boumba_Ngoko	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	CAR_CON_GAB	2.04476	15.14476	14.808968115942	1.56015333333333	0.984206046673303	65.6206996840261
CA_ECO94852DJ	Dja_Lobo	CMR_GAB	CMR_GAB	CMR_GAB	CMR_GAB	2.65438	12.80957	10.2233565217391	2.13335478260869	0.703266871413644	293.432989103521
CA_ECO94854DJ	Dja_Lobo	CMR_GAB	CMR_GAB	NA	CMR_GAB	2.65438	12.80957	11.9429608695652	2.13335478260869	0.922779419330246	112.491262531843
CA_ECO94951DJ	Dja_Lobo	CMR_GAB	CMR_GAB	CMR_GAB	CMR_GAB	2.64911	12.77207	11.9429608695652	2.13335478260869	0.349927875138896	108.62775052092
GABON_Bitam1_3	Gabon_BIT	CMR_GAB	CMR_GAB	NA	CMR_GAB	2.07997	11.49361	11.9429608695652	2.13335478260869	0.440673389166227	50.3397120090029
GABON_Bitam3_3	Gabon_BIT	CMR_GAB	CMR_GAB	NA	CMR_GAB	2.08008	11.4934	10.2233565217391	2.13335478260869	0.420732476086016	141.409437602245
GABON_LIB2_1	Gabon_LIB	CMR_GAB	CMR_GAB	NA	CMR_GAB	0.39963	9.45479	10.2233565217391	2.13335478260869	0.820429051013036	211.101277172003
GABON_MOCABE1_1	Gabon_MOCABE	CAR_CON_GAB_DRC	CAR_CON_GAB_DRC	NA	CAR_CON_GAB	-2.48399	10.85819	14.808968115942	1.56015333333333	0.77084884591893	629.287476541745
GABON_OYEM1-4	Gabon_OYEM	CMR_GAB	CMR_GAB	NA	CMR_GAB	1.5769	11.56952	11.9429608695652	2.13335478260869	0.69391198184125	74.588441761621
GHANA_39167	Ghana	GH_SL	GH_SL	NA	GH_SL	7.715517	-2.188883	-1.24067246376812	6.14576492753623	0.248241088776084	203.750404126468
